,phrase,label,sentiment,subjectivity,language,count
Iran,Iran,LOC,0.08821155182925877,0.21416319272244683,fr,478
Ukraine,Ukraine,LOC,0.023926586061692467,0.21381335291973588,fr,423
Israël,Israël,LOC,0.07763986608088123,0.20175676255975253,fr,392
Russie,Russie,LOC,0.04365007620714302,0.21117645407615032,fr,329
France,France,LOC,0.07456607264331001,0.29254203902452913,fr,257
Téhéran,Téhéran,LOC,0.08279504245754248,0.28476885275218616,fr,180
Liban,Liban,LOC,0.061060717478639205,0.18300693341130098,fr,166
Paris,Paris,LOC,0.09296617175263007,0.21236364927510767,fr,144
Moscou,Moscou,LOC,0.037702501202501244,0.17921569702819695,fr,111
Europe,Europe,LOC,0.0726061254845977,0.18081949840283165,fr,108
Belgique,Belgique,LOC,0.07766719477544218,0.18345077431159898,fr,97
Washington,Washington,LOC,0.07307840375998269,0.1770528594212805,fr,95
Kiev,Kiev,LOC,0.027558478558478552,0.24922805838128423,fr,93
Hongrie,Hongrie,LOC,0.06301821104352752,0.18339333662118476,fr,79
Etats,Etats,LOC,0.07434099544461387,0.27416006581138164,fr,76
lIran,lIran,LOC,0.0746290453708932,0.19705483928310014,fr,69
lessentiel,lessentiel,LOC,-0.04607625152625153,0.25050976800976804,fr,65
la France,la France,LOC,0.05841109908609911,0.18728820346320355,fr,60
Espagne,Espagne,LOC,0.10285210055096426,0.15072810901219988,fr,55
Bruxelles,Bruxelles,LOC,0.08992318124262572,0.3013704502801724,fr,54
Australie,Australie,LOC,0.10631628277382994,0.23546641618339717,fr,53
Groenland,Groenland,LOC,0.11514846325549459,0.2754486832611831,fr,52
Allemagne,Allemagne,LOC,0.061888655562124986,0.28413921226166117,fr,49
fonctionneme,fonctionneme,LOC,0.21467405077561333,0.22403733766233766,fr,48
Cisjordanie,Cisjordanie,LOC,0.0003008274231678509,0.08953098615332654,fr,47
Golfe,Golfe,LOC,0.09579825853159184,0.1919326272492939,fr,45
Mexique,Mexique,LOC,0.028860197210197194,0.22573376623376643,fr,45
Cuba,Cuba,LOC,0.028318944313262484,0.3994829791420701,fr,44
Mediapart,Mediapart,LOC,0.21987696608946616,0.23451196789321785,fr,40
Italie,Italie,LOC,0.09708006854256855,0.3599520652958153,fr,40
Suisse,Suisse,LOC,0.07747527618580252,0.1499919532222164,fr,38
Brésil,Brésil,LOC,0.10643890977443608,0.13830670426065161,fr,38
Turquie,Turquie,LOC,0.05510812760812761,0.21775223275223274,fr,37
Asie,Asie,LOC,0.12054152136443805,0.16178473224306555,fr,36
