,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
Europe,Europe,LOC,0.08412295472888696,0.1563114009342823,fr,59,#80d4f0,#80d4f0,EUROPE,,12217848,50.28762,15.1903,L,Czechia,WCE
lessentiel,lessentiel,LOC,-0.04456768077601411,0.28033399470899467,fr,54,,,,,,,,,,
fonctionneme,fonctionneme,LOC,0.21144585253456222,0.1692601708327515,fr,31,,,,,,,,,,
détroit d’Ormuz,détroit d’Ormuz,LOC,0.0495435512763099,0.2150773249738767,fr,29,,,,,,,,,,
détroit d'Ormuz,détroit d'Ormuz,LOC,0.01996130952380953,0.18102564102564103,fr,26,#4f59eb,#4f59eb,ASIA,,287878,26.56667,56.25,H,,WCA
lIran,lIran,LOC,0.04688773148148149,0.16539641203703703,fr,24,#d517c3,#d517c3,ASIA,,1637557,-8.01275,125.7459,T,Indonesia,SEA
Mediapart,Mediapart,LOC,0.21064897272040137,0.17336313818456672,fr,21,,,,,,,,,,
Français,Français,LOC,0.12003053494124923,0.17049288806431664,fr,14,#210e80,#210e80,SOUTHERN,,1546102,-49.34916,70.21937,P,French Southern Territories,SOO
Cest,Cest,LOC,0.10922435897435896,0.21973076923076923,fr,13,#6ec0ee,#6ec0ee,EUROPE-AFRICA,,8755806,41.63134,21.76658,T,North Macedonia,MED
Galati,Galati,LOC,0.0010367063492063497,0.0957440476190476,fr,12,#76b6ef,#76b6ef,EUROPE,4446641-9,677697,45.43687,28.05028,P,Romania,WCE
Mondial,Mondial,LOC,0.09630411255411256,0.14369823232323237,fr,10,#e1f181,#e1f181,NORTH-AMERICA,,6148531,50.78342,-111.50175,L,Canada,NWN
Arsenal,Arsenal,LOC,0.023751587301587322,0.19614484126984127,fr,10,#9eed60,#9eed60,NORTH-AMERICA,,7260623,34.68387,-86.64764,P,United States,ENA
Ormuz,Ormuz,LOC,0.03092592592592593,0.20846560846560847,fr,9,,,,,,,,,,
RDC,RDC,LOC,0.017823232323232324,0.10811447811447812,fr,9,,,,,,,,,,
Lyon,Lyon,LOC,0.061486772486772506,0.053505291005291014,fr,9,,,,,,,,,,
Golfe,Golfe,LOC,0.07107371794871793,0.19122596153846153,fr,8,,,,,,,,,,
Pays,Pays,LOC,0.07912946428571427,0.125625,fr,8,,,,,,,,,,
Maison Blanche,Maison Blanche,LOC,0.06667120181405896,0.11564625850340135,fr,7,,,,,,,,,,
Instagram,Instagram,LOC,0.07096938775510205,0.21076530612244898,fr,7,,,,,,,,,,
État hébreu,État hébreu,LOC,0.07785164835164837,0.12863186813186814,fr,7,,,,,,,,,,
PÃ¢ques,PÃ¢ques,LOC,-0.09438095238095238,0.0838095238095238,fr,7,,,,,,,,,,
Occident,Occident,LOC,0.041254208754208745,0.11026094276094277,fr,6,,,,,,,,,,
Balkans,Balkans,LOC,0.0760909090909091,0.14469696969696974,fr,6,,,,,,,,,,
Strasbourg,Strasbourg,LOC,0.1175357142857143,0.7970833333333335,fr,6,,,,,,,,,,
Maison,Maison,LOC,0.09166666666666667,0.15833333333333338,fr,6,,,,,,,,,,
Etat hébreu,Etat hébreu,LOC,-0.01622685185185185,0.11706018518518518,fr,6,,,,,,,,,,
