,phrase,label,sentiment,subjectivity,language,count
G7,G7,ORG,0.07875651394060484,0.1942133573497209,fr,110
Service Relations Clients,Service Relations Clients,ORG,0.1378290385774563,0.24078912999799076,fr,79
Dauphiné Libéré,Dauphiné Libéré,ORG,0.13517145502645503,0.23490634920634917,fr,75
OMS,OMS,ORG,0.0677608933725005,0.21337968331271906,fr,56
Otan,Otan,ORG,0.03907909451659452,0.1381746031746032,fr,44
UE,UE,ORG,0.08711691747406036,0.15357995344602485,fr,42
Hezbollah,Hezbollah,ORG,0.07321402969790064,0.2114676139272913,fr,31
Union européenne,Union européenne,ORG,0.09446601731601736,0.1311372594997595,fr,30
Google,Google,ORG,0.09589900278293136,0.162035366419295,fr,28
M6,M6,ORG,0.035239538239538244,0.32416546416546416,fr,21
RDC,RDC,ORG,0.05797316704459562,0.10162698412698415,fr,21
Fifa,Fifa,ORG,0.14571279761904762,0.18843253968253967,fr,16
FIFA,FIFA,ORG,-0.10936857142857144,0.25472486772486774,fr,15
ONU,ONU,ORG,0.04944727891156463,0.14875850340136054,fr,14
New York Times,New York Times,ORG,0.07315384615384615,0.1541153846153846,fr,13
Organisation mondiale de la santé,Organisation mondiale de la santé,ORG,0.027845238095238107,0.1908791208791209,fr,13
»,»,ORG,0.1069072039072039,0.15001678876678878,fr,13
Hamas,Hamas,ORG,0.07655006105006107,0.20292124542124546,fr,13
Suivez,Suivez,ORG,0.11321447356062743,0.4322049638395792,fr,13
Pronostic,Pronostic,ORG,0.04847985347985348,0.16987179487179488,fr,13
ministre de la Justice,ministre de la Justice,ORG,0.03047123015873016,0.3760168650793651,fr,12
TV,TV,ORG,0.1091547619047619,0.16724999999999998,fr,10
UAE,UAE,ORG,-0.0576,0.17788888888888893,fr,10
Commission européenne,Commission européenne,ORG,0.04714285714285715,0.07626984126984128,fr,9
CPI,CPI,ORG,0.20766666666666664,0.11,fr,8
BBC,BBC,ORG,0.09680952380952382,0.1699702380952381,fr,8
AFP,AFP,ORG,-0.026810064935064933,0.05628832972582973,fr,8
Air France,Air France,ORG,0.0520748299319728,0.1304421768707483,fr,7
CCI,CCI,ORG,0.200453514739229,0.10634920634920635,fr,7
Cour pénale internationale,Cour pénale internationale,ORG,0.2363333333333333,0.10142857142857142,fr,7
Mondial 2026,Mondial 2026,ORG,0.03367913832199547,0.10783446712018141,fr,7
Africa CDC,Africa CDC,ORG,0.02327272727272727,0.07709956709956711,fr,7
Etat,Etat,ORG,0.13662807430664572,0.17499018838304553,fr,7
Truth Social,Truth Social,ORG,0.20010544217687073,0.19965986394557822,fr,7
France Inter,France Inter,ORG,0.09514880952380951,0.10833333333333335,fr,7
ministre des Affaires étrangères,ministre des Affaires étrangères,ORG,-0.00911904761904762,0.1857142857142857,fr,7
Starlink,Starlink,ORG,0.1732929292929293,0.12297979797979797,fr,6
TikTok,TikTok,ORG,0.1057142857142857,0.23325396825396827,fr,6
BYD,BYD,ORG,0.07535000000000001,0.1404047619047619,fr,6
Renault,Renault,ORG,0.010333333333333328,0.14875,fr,6
Comité international olympique,Comité international olympique,ORG,0.17765873015873015,0.10214285714285713,fr,6
ministère de la Défense de Roumanie,ministère de la Défense de Roumanie,ORG,0.05866071428571429,0.061626984126984134,fr,6
JAXA,JAXA,ORG,0.135,-0.008333333333333331,fr,6
TF1,TF1,ORG,0.11308333333333331,0.21080555555555555,fr,6
Parlement,Parlement,ORG,0.15083333333333335,0.15333333333333335,fr,6
Météo,Météo,ORG,-0.005702711640211637,0.10149636243386244,fr,6
Nouvelle-Zélande,Nouvelle-Zélande,ORG,0.03725,0.125,fr,5
Safine,Safine,ORG,0.10100000000000002,0.355,fr,5
Agence sanitaire de l'Union africaine,Agence sanitaire de l'Union africaine,ORG,-0.012027272727272725,0.11290909090909093,fr,5
lUnion européenne,lUnion européenne,ORG,0.06855,0.07883333333333334,fr,5
MMG,MMG,ORG,0.03514285714285714,0.05714285714285715,fr,5
Météo France,Météo France,ORG,0.0009714285714285731,0.10500000000000001,fr,5
Saint,Saint,ORG,0.15101666666666666,0.22377777777777777,fr,5
Canal+,Canal+,ORG,0.060749999999999985,0.15625,fr,5
ESA,ESA,ORG,0.095,0.08266666666666667,fr,5
Microsoft,Microsoft,ORG,-0.001399999999999979,0.15533333333333332,fr,5
RDC ,RDC ,ORG,-0.030428571428571426,0.19495238095238093,fr,5
Nations unies,Nations unies,ORG,0.0864,0.02,fr,5
Samsung,Samsung,ORG,0.1801333333333333,0.7273333333333333,fr,5
Toyota,Toyota,ORG,0.23499999999999996,0.08,fr,5
Sécurité nationale,Sécurité nationale,ORG,0.019777777777777783,0.1918888888888889,fr,5
Commission,Commission,ORG,0.2237142857142857,0.11121428571428571,fr,4
Conseil,Conseil,ORG,0.017777777777777788,0.21708333333333335,fr,4
G7 ,G7 ,ORG,0.055624999999999994,0.15614583333333332,fr,4
BFMTV,BFMTV,ORG,0.07142857142857142,0.09333333333333332,fr,4
Parlement européen,Parlement européen,ORG,0.024116161616161612,0.07,fr,4
Tamari,Tamari,ORG,0.15555555555555556,0.09444444444444446,fr,4
RTBF,RTBF,ORG,-0.059375000000000004,0.065625,fr,4
MR,MR,ORG,-0.05416666666666666,-0.04583333333333334,fr,4
OM,OM,ORG,1.0408340855860843e-17,0.2375,fr,4
FLA,FLA,ORG,-0.035,0.18791666666666665,fr,4
ministre de la Culture,ministre de la Culture,ORG,0.018750000000000003,0.03125,fr,4
Real Madrid,Real Madrid,ORG,0.1628333333333333,0.22166666666666665,fr,4
ministre de la Défense,ministre de la Défense,ORG,0.00444444444444445,0.2222222222222222,fr,3
FCHA,FCHA,ORG,0.06976190476190476,0.024206349206349204,fr,3
Agence spatiale européenne,Agence spatiale européenne,ORG,0.09999999999999999,0.06888888888888889,fr,3
PFAS,PFAS,ORG,0.03222222222222223,0.12962962962962962,fr,3
JO,JO,ORG,0.0692063492063492,0.18095238095238098,fr,3
Opinion Internationale,Opinion Internationale,ORG,0.2711904761904762,0.0761904761904762,fr,3
RC Lens,RC Lens,ORG,-0.11666666666666665,0.06666666666666667,fr,3
The Times,The Times,ORG,0.13477777777777775,0.18194444444444444,fr,3
université Waseda,université Waseda,ORG,0.135,-0.006666666666666665,fr,3
université de Tokyo,université de Tokyo,ORG,0.135,-0.006666666666666665,fr,3
Choose France,Choose France,ORG,0.09809523809523808,0.06238095238095238,fr,3
The Guardian,The Guardian,ORG,0.05624242424242424,0.05227272727272728,fr,3
université Keio,université Keio,ORG,0.135,-0.006666666666666665,fr,3
NASDAQ,NASDAQ,ORG,0.15458333333333332,0.07666666666666666,fr,3
Fidal Notaires,Fidal Notaires,ORG,0.05000000000000001,0.08333333333333333,fr,3
VIDEO,VIDEO,ORG,0.10553439153439154,0.03571428571428572,fr,3
SAEM,SAEM,ORG,0.11666666666666665,0.08888888888888889,fr,3
France Suède,France Suède,ORG,0.0,0.0,fr,3
Directeur Général de STMicroelectronics,Directeur Général de STMicroelectronics,ORG,0.0,0.0,fr,3
EAACI,EAACI,ORG,0.02916666666666667,0.08333333333333333,fr,3
Mondial ,Mondial ,ORG,0.23407407407407407,0.17592592592592596,fr,3
CAMTEL,CAMTEL,ORG,0.09000000000000001,0.06666666666666667,fr,3
Agence sanitaire de l’Union africaine,Agence sanitaire de l’Union africaine,ORG,0.0425,0.0027777777777777783,fr,3
RT,RT,ORG,-0.03,0.125,fr,3
Apple,Apple,ORG,0.19028571428571428,0.1180952380952381,fr,3
Business,Business,ORG,0.21666666666666665,0.08888888888888889,fr,3
Bolloré,Bolloré,ORG,-0.002777777777777777,0.09444444444444444,fr,3
Banque centrale de Russie,Banque centrale de Russie,ORG,0.06,0.009523809523809525,fr,3
Uber,Uber,ORG,0.13571428571428573,0.13904761904761906,fr,3
Rocket League,Rocket League,ORG,0.17300000000000001,0.16666666666666666,fr,3
APS,APS,ORG,0.13999999999999999,0.2142857142857143,fr,3
OTAN,OTAN,ORG,0.06468253968253967,0.14761904761904762,fr,3
FBI,FBI,ORG,0.08333333333333333,0.19791666666666666,fr,3
EFICYENT,EFICYENT,ORG,0.2333333333333333,0.0,fr,3
Sony,Sony,ORG,0.020666666666666667,0.16,fr,3
Pnat,Pnat,ORG,0.09472222222222222,0.0425,fr,3
Marine française,Marine française,ORG,0.07256481481481482,0.04027777777777777,fr,3
Insee,Insee,ORG,0.08424242424242424,0.03606060606060606,fr,3
CIO,CIO,ORG,0.18420634920634923,0.08373015873015872,fr,3
MND,MND,ORG,0.09999999999999999,0.15,fr,3
KNDS,KNDS,ORG,0.02872727272727273,0.12333333333333334,fr,3
Banque du Dirigeant,Banque du Dirigeant,ORG,-0.007142857142857143,-2.64338815386942e-18,fr,3
Conseil de l'Europe,Conseil de l'Europe,ORG,0.15785714285714286,0.06666666666666667,fr,3
Ubisoft,Ubisoft,ORG,0.15047619047619046,0.16825396825396824,fr,3
Assemblée nationale,Assemblée nationale,ORG,0.08,0.09000000000000001,fr,3
Bank of America,Bank of America,ORG,0.022333333333333334,0.059166666666666666,fr,3
Le Nouvel Obs,Le Nouvel Obs,ORG,0.09733333333333333,0.09333333333333334,fr,3
"AFP
 ","AFP
 ",ORG,0.09733333333333333,0.09333333333333334,fr,3
Union Palestine Marseille,Union Palestine Marseille,ORG,0.2106666666666667,0.06666666666666667,fr,3
PSG,PSG,ORG,-0.10157142857142858,0.04833333333333333,fr,3
Organisation mondiale de la Santé,Organisation mondiale de la Santé,ORG,0.14456709956709957,0.5867965367965366,fr,3
XRG,XRG,ORG,-0.05888888888888888,0.125,fr,3
Bayer Leverkusen,Bayer Leverkusen,ORG,-0.05999999999999999,0.2111111111111111,fr,3
New York Times »,New York Times »,ORG,0.06305555555555555,0.11898148148148148,fr,3
Entreprises,Entreprises,ORG,0.06755555555555555,-0.005555555555555564,fr,3
RTL,RTL,ORG,0.15333333333333332,0.21666666666666667,fr,3
EDF,EDF,ORG,0.02800000000000001,0.08,fr,3
BLUETTI,BLUETTI,ORG,0.066,0.02666666666666667,fr,3
Evenepoel,Evenepoel,ORG,-0.20888888888888887,0.16333333333333333,fr,3
NEWSWIRE,NEWSWIRE,ORG,0.1723611111111111,0.10999999999999999,fr,3
WUF13,WUF13,ORG,0.066,0.02666666666666667,fr,3
X,X,ORG,-0.09214285714285715,0.021428571428571425,fr,2
Vooruit,Vooruit,ORG,0.036428571428571435,0.09166666666666667,fr,2
ministre israélien des Finances,ministre israélien des Finances,ORG,-0.08249999999999999,0.0875,fr,2
"Cour
pénale internationale","Cour
pénale internationale",ORG,0.188,0.065,fr,2
Electra débloque,Electra débloque,ORG,0.2727272727272727,0.225,fr,2
E.Leclerc,E.Leclerc,ORG,0.5333333333333333,0.24166666666666667,fr,2
Business France,Business France,ORG,0.13749999999999998,0.0875,fr,2
Radio France,Radio France,ORG,0.156,0.1,fr,2
DUBAÏ,DUBAÏ,ORG,0.2333333333333333,0.0,fr,2
Southern Africa Electric Power Summit,Southern Africa Electric Power Summit,ORG,0.3666666666666667,0.06666666666666667,fr,2
Sinomine Resource Co,Sinomine Resource Co,ORG,0.07999999999999999,0.095,fr,2
CAA,CAA,ORG,-0.11428571428571428,0.1285714285714286,fr,2
Front national,Front national,ORG,0.05444444444444444,0.06666666666666668,fr,2
FN,FN,ORG,0.05444444444444444,0.06666666666666668,fr,2
IPTV,IPTV,ORG,-0.012708333333333321,0.11499999999999999,fr,2
PODCAST,PODCAST,ORG,-0.018750000000000003,0.27499999999999997,fr,2
Salon international de l'aéronautique,Salon international de l'aéronautique,ORG,0.125,0.008333333333333333,fr,2
Autorité de la concurrence,Autorité de la concurrence,ORG,0.119,0.049999999999999996,fr,2
Reuters,Reuters,ORG,0.03166666666666667,0.075,fr,2
G20,G20,ORG,0.012499999999999997,0.037500000000000006,fr,2
Pyongyang,Pyongyang,ORG,-0.04666666666666667,0.06249999999999999,fr,2
Heritage Foundation,Heritage Foundation,ORG,0.031428571428571424,0.06428571428571428,fr,2
CARTE,CARTE,ORG,0.07966666666666665,0.25833333333333336,fr,2
Opel,Opel,ORG,0.0805357142857143,0.1571428571428571,fr,2
CPS,CPS,ORG,0.238,0.11000000000000001,fr,2
Accord de Paris,Accord de Paris,ORG,0.025,0.0,fr,2
L de la Coupe du monde 2026,L de la Coupe du monde 2026,ORG,0.3225,0.15,fr,2
Jnim,Jnim,ORG,0.003333333333333327,0.11916666666666666,fr,2
IMDC,IMDC,ORG,0.025,0.0,fr,2
Kalash,Kalash,ORG,0.05000000000000001,-0.049999999999999996,fr,2
NASA,NASA,ORG,0.10750000000000003,0.13541666666666669,fr,2
ISTP,ISTP,ORG,0.176,0.152,fr,2
IRUP,IRUP,ORG,0.176,0.152,fr,2
N.3,N.3,ORG,-0.030583333333333344,0.06666666666666668,fr,2
NBC,NBC,ORG,0.14350000000000002,0.05416666666666667,fr,2
Alexa+,Alexa+,ORG,0.18888888888888886,0.11944444444444446,fr,2
Bayern Munich,Bayern Munich,ORG,-0.06706439393939394,0.07045454545454546,fr,2
Fédération argentine de football,Fédération argentine de football,ORG,0.05500000000000001,0.134375,fr,2
Nasdaq,Nasdaq,ORG,-0.05,-0.05,fr,2
Fédération française de ski,Fédération française de ski,ORG,0.042777777777777776,0.030555555555555558,fr,2
Musk,Musk,ORG,0.29453125,0.175,fr,2
Amazon,Amazon,ORG,0.125,0.0625,fr,2
Czechoslovak Group,Czechoslovak Group,ORG,-0.006,0.08499999999999999,fr,2
Cour pénale spéciale,Cour pénale spéciale,ORG,0.238,0.11000000000000001,fr,2
Le Phocéen et,Le Phocéen et,ORG,-0.05999999999999999,0.15833333333333333,fr,2
Secours populaire,Secours populaire,ORG,0.27777777777777785,0.11666666666666667,fr,2
VALN,VALN,ORG,-0.05,-0.05,fr,2
Europe de l’Est,Europe de l’Est,ORG,0.14166666666666666,0.1411111111111111,fr,2
L,L,ORG,-0.10425,0.1,fr,2
Aluminium Dunkerque,Aluminium Dunkerque,ORG,0.17400000000000002,0.076,fr,2
Ocean's Eleven,Ocean's Eleven,ORG,0.02666666666666667,0.016666666666666666,fr,2
Woluwe,Woluwe,ORG,0.06666666666666667,0.08333333333333333,fr,2
Food Truck Festival de,Food Truck Festival de,ORG,0.06666666666666667,0.08333333333333333,fr,2
Blade,Blade,ORG,0.14250000000000004,0.1679166666666667,fr,2
Aramco,Aramco,ORG,0.12000000000000002,0.25,fr,2
OVHcloud,OVHcloud,ORG,0.1277777777777778,0.09444444444444443,fr,2
EPC,EPC,ORG,0.11333333333333333,0.10833333333333335,fr,2
RUTB,RUTB,ORG,0.18833333333333335,0.1625,fr,2
Head,Head,ORG,0.16249999999999998,0.16249999999999998,fr,2
Cité internationale de l’animation,Cité internationale de l’animation,ORG,0.1425,0.10625000000000001,fr,2
Digital Currency Group,Digital Currency Group,ORG,0.09999999999999999,0.03333333333333333,fr,2
Groupama Académie,Groupama Académie,ORG,0.15666666666666665,0.09999999999999999,fr,2
Blanc Handball,Blanc Handball,ORG,0.15666666666666665,0.09999999999999999,fr,2
CRBC,CRBC,ORG,0.0,0.0,fr,2
China Road and Bridge Corporation,China Road and Bridge Corporation,ORG,0.0,0.0,fr,2
Nexhos,Nexhos,ORG,0.17500000000000002,0.09375000000000001,fr,2
OIF,OIF,ORG,0.1888888888888889,0.06944444444444445,fr,2
Assemblée générale de l'ONU,Assemblée générale de l'ONU,ORG,6.1679056923619804e-18,0.09444444444444443,fr,2
Conseil de sécurité,Conseil de sécurité,ORG,6.1679056923619804e-18,0.09444444444444443,fr,2
CEDH,CEDH,ORG,0.08800000000000001,0.03,fr,2
BREFLéquipe,BREFLéquipe,ORG,-0.014642857142857135,0.1017857142857143,fr,2
l'ONU,l'ONU,ORG,0.03166666666666666,0.11666666666666665,fr,2
Euronext Paris,Euronext Paris,ORG,-0.05,-0.05,fr,2
Tsahal,Tsahal,ORG,0.021249999999999998,0.056249999999999994,fr,2
VLA,VLA,ORG,-0.05,-0.05,fr,2
SREN,SREN,ORG,-0.0475,0.34375,fr,2
Secours populaire français,Secours populaire français,ORG,0.27777777777777785,0.11666666666666667,fr,2
FFS,FFS,ORG,0.042777777777777776,0.030555555555555558,fr,2
MDLN,MDLN,ORG,0.06874999999999999,0.025,fr,2
RIYAD,RIYAD,ORG,0.09666666666666664,0.10416666666666667,fr,2
bourse de Londres,bourse de Londres,ORG,0.09666666666666664,0.10416666666666667,fr,2
PCC,PCC,ORG,0.08333333333333333,0.1416666666666667,fr,2
CNN,CNN,ORG,0.11265151515151516,0.1411111111111111,fr,2
Médecins sans Frontières,Médecins sans Frontières,ORG,0.03666666666666667,0.26666666666666666,fr,2
RSM France,RSM France,ORG,0.1,0.15000000000000002,fr,2
Guardia di Finanza,Guardia di Finanza,ORG,0.06666666666666667,0.041666666666666664,fr,2
OIM,OIM,ORG,0.06249999999999997,0.09375,fr,2
PFA,PFA,ORG,0.0,0.0,fr,2
Fédération palestinienne de football,Fédération palestinienne de football,ORG,0.0,0.0,fr,2
SNCF,SNCF,ORG,0.03142857142857143,0.1,fr,2
Disney Pixar,Disney Pixar,ORG,0.1511111111111111,0.0861111111111111,fr,2
FC Barça,FC Barça,ORG,0.35624999999999996,0.25,fr,2
Marine nationale,Marine nationale,ORG,0.123875,0.078125,fr,2
Etat hébreu,Etat hébreu,ORG,0.055,0.125,fr,2
IGPN,IGPN,ORG,0.2,0.05,fr,2
Le Monde,Le Monde,ORG,0.11645833333333334,0.041666666666666664,fr,2
Mondial Relay,Mondial Relay,ORG,-0.0842857142857143,0.1225,fr,2
Forum urbain mondial 13,Forum urbain mondial 13,ORG,0.066,0.02,fr,2
RATP,RATP,ORG,0.10742857142857141,0.07857142857142856,fr,2
FSD,FSD,ORG,0.08145833333333334,0.121875,fr,2
Driving Supervised,Driving Supervised,ORG,0.19000000000000003,0.11136363636363637,fr,2
France Sénégal,France Sénégal,ORG,0.21857142857142856,0.13285714285714284,fr,2
bioMérieux,bioMérieux,ORG,0.16666666666666666,0.11666666666666668,fr,2
Motorola,Motorola,ORG,0.17,0.11071428571428572,fr,2
Aston Villa,Aston Villa,ORG,-0.03574999999999999,0.06875,fr,2
