,phrase,label,sentiment,subjectivity,language,count
Vladimir Poutine,Vladimir Poutine,PER,0.02433293536269727,0.18553123067408783,fr,63
Donald Trump,Donald Trump,PER,0.05022791998449894,0.19756090936354076,fr,57
Xi Jinping,Xi Jinping,PER,0.12036485604342745,0.2096010702260702,fr,42
Volodymyr Zelensky,Volodymyr Zelensky,PER,0.03853590785907859,0.15326267905536198,fr,41
Emmanuel Macron,Emmanuel Macron,PER,0.07860915546441864,0.15180055251765778,fr,38
Christophe Gleizes,Christophe Gleizes,PER,0.059597041847041836,0.4589436026936025,fr,21
Gérald Darmanin,Gérald Darmanin,PER,0.0218984962406015,0.3507957393483709,fr,19
Marco Rubio,Marco Rubio,PER,0.06065662202380952,0.14170758928571428,fr,16
Benyamin Netanyahou,Benyamin Netanyahou,PER,0.10217881944444443,0.3318229166666667,fr,16
Xenia Fedorova,Xenia Fedorova,PER,0.1041034226190476,0.1853199404761905,fr,16
Kim Jong,Kim Jong,PER,0.04337301587301586,0.1531746031746032,fr,14
Raul Castro,Raul Castro,PER,0.022648526077097515,0.5190107709750565,fr,14
Abbas Araghchi,Abbas Araghchi,PER,-0.03682051282051282,0.1503846153846154,fr,13
Léon XIV,Léon XIV,PER,0.08270337995337997,0.21900155400155402,fr,13
Friedrich Merz,Friedrich Merz,PER,0.017366161616161616,0.09753787878787877,fr,11
Jared Kushner,Jared Kushner,PER,0.18113059163059161,0.142965367965368,fr,11
Peter Magyar,Peter Magyar,PER,0.1385690235690236,0.19854096520763187,fr,9
Benyamin Nétanyahou,Benyamin Nétanyahou,PER,0.1675542328042328,0.2019964726631393,fr,9
Maxime Prévot,Maxime Prévot,PER,0.07857575757575758,0.1474280303030303,fr,8
Hicham Harb,Hicham Harb,PER,-0.10312500000000001,0.2755208333333333,fr,8
Laurent Nuñez,Laurent Nuñez,PER,-0.04553571428571429,0.10238095238095238,fr,8
Viktor Orbán,Viktor Orbán,PER,-0.03643452380952381,0.21129960317460322,fr,8
Patrick Bruel,Patrick Bruel,PER,0.07164682539682539,0.4922916666666666,fr,8
Viktor Orban,Viktor Orban,PER,0.07765422077922078,0.17070707070707072,fr,7
Jacques Paris,Jacques Paris,PER,0.06181859410430839,0.07190476190476192,fr,7
Charles III,Charles III,PER,0.11142857142857142,0.125,fr,7
Cécile Kohler,Cécile Kohler,PER,0.06181859410430839,0.07190476190476192,fr,7
Didier Deschamps,Didier Deschamps,PER,0.07062500000000001,0.1863888888888889,fr,6
Bassirou Diomaye Faye,Bassirou Diomaye Faye,PER,0.056129629629629633,0.6171296296296296,fr,6
Balendra Shah,Balendra Shah,PER,0.21907407407407406,0.11893518518518516,fr,6
Angela Merkel,Angela Merkel,PER,0.04982142857142857,0.15590277777777775,fr,6
Pedro Sánchez,Pedro Sánchez,PER,0.013069940476190478,0.16200892857142857,fr,6
BD Topage,BD Topage,PER,0.09464646464646465,0.11183712121212121,fr,6
Rudi Garcia,Rudi Garcia,PER,0.03057208994708995,0.2446759259259259,fr,6
Benjamin Netanyahu,Benjamin Netanyahu,PER,0.16486111111111112,0.2934722222222223,fr,6
Joël Soudron,Joël Soudron,PER,0.06301190476190477,0.2709761904761904,fr,6
Emmanuel Grégoire,Emmanuel Grégoire,PER,-0.014126984126984127,0.07658730158730158,fr,6
Giorgia Meloni,Giorgia Meloni,PER,0.051534391534391544,0.18208994708994708,fr,6
Raphaël Collignon,Raphaël Collignon,PER,-0.004419191919191924,0.11830808080808082,fr,6
Luc Mélenchon,Luc Mélenchon,PER,0.13523504273504275,0.18838675213675216,fr,6
Paul Biya,Paul Biya,PER,0.017142857142857147,0.08571428571428572,fr,5
Cole Allen,Cole Allen,PER,-0.0416,0.262,fr,5
Gerhard Schröder,Gerhard Schröder,PER,0.0988,0.1897857142857143,fr,5
Péter Magyar,Péter Magyar,PER,-0.08345833333333333,0.15416666666666665,fr,5
Lamine Yamal,Lamine Yamal,PER,0.25683333333333336,0.33499999999999996,fr,5
Roberto Martinez,Roberto Martinez,PER,0.041333333333333326,0.04,fr,5
Gianni Infantino,Gianni Infantino,PER,0.10588888888888888,0.1238888888888889,fr,5
Keir Starmer,Keir Starmer,PER,0.039138888888888904,0.16166666666666668,fr,5
Elon Musk,Elon Musk,PER,0.0782857142857143,0.1514285714285714,fr,5
Assimi Goïta,Assimi Goïta,PER,0.02666666666666666,0.36300000000000004,fr,5
Tim Cook,Tim Cook,PER,0.14533333333333331,0.14,fr,5
Charles Aznavour,Charles Aznavour,PER,0.3055555555555556,0.158,fr,5
Benjamin Netanyahou,Benjamin Netanyahou,PER,0.04508333333333333,0.23275,fr,4
Diablotins U17,Diablotins U17,PER,-0.06374999999999999,0.065,fr,4
Martinez Zogo,Martinez Zogo,PER,0.08750000000000001,0.1375,fr,4
Itamar Ben Gvir,Itamar Ben Gvir,PER,0.043611111111111114,0.21555555555555556,fr,4
JD Vance,JD Vance,PER,0.08348214285714287,0.19598214285714288,fr,4
Lionel Messi,Lionel Messi,PER,0.13904761904761906,0.2892857142857143,fr,4
Ousmane Sonko,Ousmane Sonko,PER,0.1455,0.13708333333333333,fr,4
Cole Tomas Allen,Cole Tomas Allen,PER,-0.08875,0.2296875,fr,4
Bernard Haykel,Bernard Haykel,PER,-0.10124999999999999,0.1875,fr,4
Steve Witkoff,Steve Witkoff,PER,0.054394841269841274,0.08779761904761905,fr,4
Recep Tayyip Erdogan,Recep Tayyip Erdogan,PER,0.15316666666666667,0.20416666666666666,fr,4
Kylian Mbappé,Kylian Mbappé,PER,0.06559974747474749,0.18109848484848487,fr,4
Andriy Biletsky,Andriy Biletsky,PER,0.10888888888888888,0.24444444444444446,fr,4
Pedro Sanchez,Pedro Sanchez,PER,0.11000000000000001,0.2786458333333333,fr,4
Nuno Mendes,Nuno Mendes,PER,-0.1451785714285714,0.15915178571428573,fr,4
Kemi Seba,Kemi Seba,PER,0.03285714285714286,0.13,fr,4
Tulsi Gabbard,Tulsi Gabbard,PER,0.08427777777777777,0.07694444444444445,fr,4
Marie Van Butsele,Marie Van Butsele,PER,0.06648214285714285,0.22375,fr,4
Mahmoud Abbas,Mahmoud Abbas,PER,0.061083333333333344,0.2049166666666667,fr,4
Nicolas Sarkozy,Nicolas Sarkozy,PER,0.13571428571428573,0.23035714285714284,fr,4
Filip Dewulf,Filip Dewulf,PER,0.20329545454545456,0.21647727272727274,fr,4
Zlatko Dalic,Zlatko Dalic,PER,-0.039166666666666676,0.15520833333333334,fr,4
Luis de la Fuente,Luis de la Fuente,PER,0.19416666666666668,0.2354166666666667,fr,4
Andreï Zviaguintsev,Andreï Zviaguintsev,PER,-0.0052777777777777805,0.11194444444444446,fr,4
Marc Chéry,Marc Chéry,PER,0.0,0.0,fr,4
Noël Barrot,Noël Barrot,PER,-0.004226190476190481,0.16619047619047617,fr,4
Omar Abdulkadir Artan,Omar Abdulkadir Artan,PER,0.19437500000000002,0.2330357142857143,fr,4
Sergueï Lavrov,Sergueï Lavrov,PER,-0.08613636363636365,0.06353896103896103,fr,4
Ali al,Ali al,PER,-0.05355555555555552,0.1996296296296296,fr,3
Jacques Guinot,Jacques Guinot,PER,0.41333333333333333,0.39999999999999997,fr,3
Alain Prost,Alain Prost,PER,-0.16299999999999998,0.16,fr,3
lépidémie dEbola,lépidémie dEbola,PER,-0.036765873015873016,0.1961706349206349,fr,3
lessentiel de lactualité,lessentiel de lactualité,PER,0.1053030303030303,0.15606060606060607,fr,3
Léa Salamé,Léa Salamé,PER,-0.17,-0.014285714285714282,fr,3
Abdoulaye Wade,Abdoulaye Wade,PER,0.051666666666666666,3.025,fr,3
Boko Haram,Boko Haram,PER,0.05666666666666667,0.125,fr,3
Nicolas Tissier,Nicolas Tissier,PER,0.31272727272727274,0.33636363636363636,fr,3
Stéphane Romatet,Stéphane Romatet,PER,0.14011904761904762,0.05833333333333333,fr,3
Président du Directoire,Président du Directoire,PER,0.0,0.0,fr,3
Tedros Adhanom Ghebreyesu,Tedros Adhanom Ghebreyesu,PER,0.14380952380952383,0.1714285714285714,fr,3
Jérémy Clédat,Jérémy Clédat,PER,-0.007500000000000003,0.13125,fr,3
Claude Mythos,Claude Mythos,PER,-0.1256904761904762,0.30638095238095236,fr,3
Janez Jansa,Janez Jansa,PER,0.11555555555555556,0.19444444444444445,fr,3
Mahdieh Esfandiari,Mahdieh Esfandiari,PER,0.008999999999999998,-0.03,fr,3
Jordan Bardella,Jordan Bardella,PER,0.16282051282051282,0.15743589743589745,fr,3
Antoine de Carbonnel,Antoine de Carbonnel,PER,0.065,0.10833333333333334,fr,3
Ali Larijani,Ali Larijani,PER,0.22479999999999997,0.41500000000000004,fr,3
Hugo Broos,Hugo Broos,PER,0.1125,0.08749999999999998,fr,3
Oleksandra Oliynykova,Oleksandra Oliynykova,PER,-0.04777777777777777,0.18888888888888888,fr,3
Carlo Ancelotti,Carlo Ancelotti,PER,0.0,0.09999999999999999,fr,3
Kamala Harris,Kamala Harris,PER,-0.007999999999999997,0.25,fr,3
Meisam Amini,Meisam Amini,PER,0.11742857142857144,0.08750000000000001,fr,3
Vincent Bolloré,Vincent Bolloré,PER,0.22999999999999998,0.1722222222222222,fr,3
Mojtaba Khamenei,Mojtaba Khamenei,PER,0.24333333333333332,0.2388888888888889,fr,3
Amal Khalil,Amal Khalil,PER,0.04666666666666667,0.2875,fr,3
Joseph Aoun,Joseph Aoun,PER,0.23466666666666666,0.19333333333333336,fr,3
Zohran Mamdani,Zohran Mamdani,PER,-0.03333333333333333,0.39999999999999997,fr,3
Anatoly Grishchenko,Anatoly Grishchenko,PER,0.28500000000000003,0.375,fr,3
Thiago Avila,Thiago Avila,PER,-0.051888888888888894,0.08703703703703704,fr,3
Yehvann Diouf,Yehvann Diouf,PER,0.0037500000000000033,0.45625,fr,3
Kanye West,Kanye West,PER,-0.0395,0.25333333333333335,fr,3
Adolf Hitler,Adolf Hitler,PER,-0.06774999999999999,0.2816666666666667,fr,3
